#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0070418506308432e+00  6.9006903563337508e-03  5.4363815471777654e-06  1.0272363982560297e+00  1.0200533350352186e+00  0.0000000000000000e+00
 1.0022262531039094e+00  8.0561599133033152e-02  1.1410465032705579e-02  1.0214194614136765e+00  1.0191505742843252e+00  0.0000000000000000e+00
 1.0028988642327354e+00  1.5696291939912912e-01  2.2007435602924324e-02  1.0194824548866999e+00  1.0165356560321281e+00  0.0000000000000000e+00
 1.0022472080444926e+00  2.0959771742311656e-01  2.9181295933665360e-02  1.0160256740348894e+00  1.0137475723352529e+00  0.0000000000000000e+00
 1.0023784080403118e+00  2.4347544835466622e-01  3.3628376154675586e-02  1.0139357083049252e+00  1.0115298775112369e+00  0.0000000000000000e+00
 1.0021684054878843e+00  2.6715303653932165e-01  3.6563480258663329e-02  1.0119754282856905e+00  1.0097858032084259e+00  0.0000000000000000e+00
 1.0019494022332931e+00  2.8565696413801378e-01  3.8692739371282883e-02  1.0102770574065179e+00  1.0083114528085582e+00  0.0000000000000000e+00
 1.0016433124832016e+00  3.0097488282265661e-01  4.0291734614684237e-02  1.0086725775197640e+00  1.0070177327087986e+00  0.0000000000000000e+00
 1.0012742417309537e+00  3.1390912835009444e-01  4.1470077868030426e-02  1.0071554358634671e+00  1.0058737096066175e+00  0.0000000000000000e+00
 1.0008214306934653e+00  3.2497049099052366e-01  4.2296207157349219e-02  1.0056852684590463e+00  1.0048598457391256e+00  0.0000000000000000e+00
 1.0002996178932952e+00  3.3458088200903935e-01  4.2825416323768913e-02  1.0042531803186350e+00  1.0039523782221036e+00  0.0000000000000000e+00
 9.9971429467777106e-01  3.4307731903128535e-01  4.3100659038610330e-02  1.0028442478894894e+00  1.0031308477115730e+00  0.0000000000000000e+00
 9.9907555453290231e-01  3.5070223649896104e-01  4.3151699050919930e-02  1.0014508187341253e+00  1.0023774620352248e+00  0.0000000000000000e+00
 9.9838795342280973e-01  3.5764893929135494e-01  4.3001013998312972e-02  1.0000647863070684e+00  1.0016795403815824e+00  0.0000000000000000e+00
 9.9765697472559167e-01  3.6405191504827156e-01  4.2662485479455253e-02  9.9868013376814901e-01  1.0010255619601507e+00  0.0000000000000000e+00
 9.9688387971712333e-01  3.7003583872939066e-01  4.2146754318051934e-02  9.9728945054054030e-01  1.0004068385813725e+00  0.0000000000000000e+00
 9.9607105898837600e-01  3.7568222646003258e-01  4.1456377962514147e-02  9.9588648513089995e-01  9.9981469810229873e-01  0.0000000000000000e+00
 9.9521632436021590e-01  3.8108552262047618e-01  4.0590942199211971e-02  9.9446320135817612e-01  9.9924325698483329e-01  0.0000000000000000e+00
 9.9431906559224126e-01  3.8629866640813382e-01  3.9539543987624097e-02  9.9301192194753241e-01  9.9868538813149477e-01  0.0000000000000000e+00
 9.9337537618562866e-01  3.9140022819815379e-01  3.8286528658399044e-02  9.9152404932166327e-01  9.9813632700352017e-01  0.0000000000000000e+00
 9.9238412067787107e-01  3.9641066970733096e-01  3.6801824980639122e-02  9.8999272627081425e-01  9.9759025325251771e-01  0.0000000000000000e+00
 9.9134143749464987e-01  4.0140027180816135e-01  3.5051143995074661e-02  9.8841080113248880e-01  9.9704376690883889e-01  0.0000000000000000e+00
 9.9024906676366709e-01  4.0635492811649115e-01  3.2983990988891168e-02  9.8677672346855072e-01  9.9649346471341360e-01  0.0000000000000000e+00
 9.8910759349392530e-01  4.1132840533901810e-01  3.0548964146674275e-02  9.8509033455834794e-01  9.9593850157252706e-01  0.0000000000000000e+00
 9.8792528113407030e-01  4.1626908481875419e-01  2.7682387237924658e-02  9.8335966990957557e-01  9.9537858650681199e-01  0.0000000000000000e+00
 9.8670913875979172e-01  4.2121398092798640e-01  2.4326925306039318e-02  9.8159447507197661e-01  9.9481644236695366e-01  0.0000000000000000e+00
 9.8547476526647027e-01  4.2606171055770747e-01  2.0420571451841035e-02  9.7981394844828851e-01  9.9425574655211924e-01  0.0000000000000000e+00
 9.8423699466798553e-01  4.3081876066546620e-01  1.5916048880936007e-02  9.7803887580986359e-01  9.9370261543540883e-01  0.0000000000000000e+00
 9.8301780996822563e-01  4.3533139916222247e-01  1.0771030034041621e-02  9.7629759047670583e-01  9.9316368490644447e-01  0.0000000000000000e+00
 9.8183652692056922e-01  4.3960468810828629e-01  4.9629994159181281e-03  9.7461729838986211e-01  9.9264721943748702e-01  0.0000000000000000e+00
 9.8071770826942284e-01  4.4345118072653467e-01 -1.5203140208608240e-03  9.7303029732589130e-01  9.9216144372767923e-01  0.0000000000000000e+00
 9.7967971722249159e-01  4.4687378407133882e-01 -8.6758882682141190e-03  9.7156296629873717e-01  9.9171489336661356e-01  0.0000000000000000e+00
 9.7874472816215119e-01  4.4972885321580802e-01 -1.6491101830323495e-02  9.7024215959362592e-01  9.9131278225682917e-01  0.0000000000000000e+00
 9.7792677892746871e-01  4.5206738971679961e-01 -2.4954224911270848e-02  9.6908832740832995e-01  9.9096205185337904e-01  0.0000000000000000e+00
 9.7724100610075160e-01  4.5373479193816391e-01 -3.4046736196911703e-02  9.6811956996398429e-01  9.9066613447468588e-01  0.0000000000000000e+00
 9.7669595938672604e-01  4.5472798010998866e-01 -4.3761820580074502e-02  9.6734959561905387e-01  9.9043063127491526e-01  0.0000000000000000e+00
 9.7630309519796588e-01  4.5487472232178860e-01 -5.4085507270379994e-02  9.6679325523614301e-01  9.9025933646159925e-01  0.0000000000000000e+00
 9.7607013101062312e-01  4.5422465735433593e-01 -6.5036185580915201e-02  9.6646152034191968e-01  9.9015581937872188e-01  0.0000000000000000e+00
 9.7600904212052342e-01  4.5256558433021432e-01 -7.6611511868809407e-02  9.6637161007615824e-01  9.9012567340213753e-01  0.0000000000000000e+00
 9.7613578931728084e-01  4.4987758207670392e-01 -8.8845190707463675e-02  9.6654486393213235e-01  9.9017459917963235e-01  0.0000000000000000e+00
 9.7646917841543457e-01  4.4595138963992897e-01 -1.0174668888959279e-01  9.6700977824953938e-01  9.9031264849419498e-01  0.0000000000000000e+00
 9.7704009318448704e-01  4.4071757160791852e-01 -1.1535794505569795e-01  9.6780376604980389e-01  9.9054662423874673e-01  0.0000000000000000e+00
 9.7788384549914054e-01  4.3383059849751210e-01 -1.2964993017075827e-01  9.6898046865322762e-01  9.9089526134735539e-01  0.0000000000000000e+00
