#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0163905914588971e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5425682195059340e+00
 1.0159868420680989e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5377880751099511e+00
 1.0153948734639595e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5363761994420519e+00
 1.0136369621177295e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5326383705997038e+00
 1.0122984806268558e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5297010418581904e+00
 1.0109789438768728e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5265922671167318e+00
 1.0096922819744265e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5234653996337495e+00
 1.0083954330323883e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5202742094981136e+00
 1.0070890291856260e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5170457902332726e+00
 1.0057675929461474e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5137732286982462e+00
 1.0044338409674614e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5104656104866097e+00
 1.0030892416484389e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5071276231037904e+00
 1.0017359907976653e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5037655796537761e+00
 1.0003750688534938e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5003824417776510e+00
 9.9900673491576508e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4969792029495714e+00
 9.9762834753493490e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4935494436142731e+00
 9.9623664945904067e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4900852698076430e+00
 9.9482584624587311e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4865723214508386e+00
 9.9338939742467591e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4829944329141047e+00
 9.9191984626542729e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4793331331791575e+00
 9.9041074307823318e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4755725866625893e+00
 9.8885580351008706e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4716971554700926e+00
 9.8725361758926244e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4677036213338730e+00
 9.8560434474400216e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4635923308948264e+00
 9.8391564448132840e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4593827271528128e+00
 9.8219730760373281e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4550994642978132e+00
 9.8046787609946207e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4507896170895660e+00
 9.7874813290520402e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4465054019211365e+00
 9.7706615066155289e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4423168173992660e+00
 9.7544914784016035e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4382920428309460e+00
 9.7392895110957811e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4345108787887688e+00
 9.7253163484739669e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4310394834375231e+00
 9.7128385520597404e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4279450188495502e+00
 9.7020712512367646e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4252812577985750e+00
 9.6932025775790132e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4230941134864938e+00
 9.6863868512303075e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4214210528419411e+00
 9.6817750393775914e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4202990653455010e+00
 9.6794896830754740e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4197585669225723e+00
 9.6797029719316441e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4198422538102347e+00
 9.6826370910173032e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4206051958651718e+00
 9.6885728490266931e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4221169733488095e+00
 9.6978973399926172e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4244732584984874e+00
 9.7111341815027463e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4278031331688519e+00
 9.7289425926952822e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4322689661289987e+00
 9.7521232360631105e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4380686426733855e+00
 9.7816094324288194e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4454360817613479e+00
 9.8184682884436369e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4546395431129731e+00
 9.8638154784196452e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4659487373522615e+00
 9.9186747598996305e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4795961588490467e+00
 9.9836886456436524e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4957080847592223e+00
 1.0058587979610885e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5141854126853924e+00
 1.0141838939376171e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5346363189422156e+00
 1.0230306203195445e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5563244454507830e+00
 1.0319486543785141e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5782380712823181e+00
 1.0404677243115688e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5992380348239861e+00
 1.0481728101435694e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6182703240802421e+00
 1.0547793611594825e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6345959383880220e+00
 1.0601640261976073e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6478939090239151e+00
 1.0643474274620826e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6582258067188289e+00
 1.0674478271194001e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6659143105794696e+00
 1.0696319189066124e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6714104470298108e+00
 1.0710718943206305e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6751710866080254e+00
 1.0719412074488079e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6776245424767655e+00
 1.0723427266399306e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6789379424868494e+00
 1.0726120360015012e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6798005914229157e+00
 1.0728068523330712e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6801603475625173e+00
 1.0728823682721766e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6800174915167432e+00
 1.0726306175558142e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6790524630237256e+00
 1.0718767072308146e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6769481967494828e+00
 1.0704547692718365e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6733154118318314e+00
 1.0681782795808974e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6676608685957546e+00
 1.0648633856105114e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6594850269892247e+00
 1.0603591639419152e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6483754404540596e+00
 1.0546001738861537e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6341484970885576e+00
 1.0476576390496584e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6169855607569747e+00
 1.0397635415613558e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5974935491356987e+00
 1.0312912383367574e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5766381441690354e+00
 1.0226818048201540e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5555271810601830e+00
