#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163905914588971e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0170272878023734e+00  1.0006264288048581e+00  2.9594646432863357e-08
 1.0159868420680989e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0151152300439803e+00  9.9914210303910611e-01  2.9560879829045849e-08
 1.0153948734639595e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0145504797768203e+00  9.9916840855788625e-01  2.9561478459971282e-08
 1.0136369621177295e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130553482398812e+00  9.9942621086287853e-01  2.9567344824308469e-08
 1.0122984806268558e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118804167432760e+00  9.9958701520195825e-01  2.9571003599613698e-08
 1.0109789438768728e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0106369068466927e+00  9.9966167739471568e-01  2.9572702288412151e-08
 1.0096922819744265e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0093861598534994e+00  9.9969681641982233e-01  2.9573501738184721e-08
 1.0083954330323883e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0081096837992454e+00  9.9971662978254128e-01  2.9573952506992479e-08
 1.0070890291856260e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0068183160933089e+00  9.9973119249195297e-01  2.9574283816741724e-08
 1.0057675929461474e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0055092914792982e+00  9.9974317976771121e-01  2.9574556532178707e-08
 1.0044338409674614e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0041862441946436e+00  9.9975349618589215e-01  2.9574791233646843e-08
 1.0030892416484389e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0028510492415159e+00  9.9976254116081298e-01  2.9574997008446967e-08
 1.0017359907976653e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0015062318615102e+00  9.9977063923202769e-01  2.9575181240249411e-08
 1.0003750688534938e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0001529767110602e+00  9.9977799112618038e-01  2.9575348495831865e-08
 9.9900673491576508e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9879168117982842e-01  9.9978473244631871e-01  2.9575501860330236e-08
 9.9762834753493490e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9741977744570898e-01  9.9979093407906761e-01  2.9575642946538852e-08
 9.9623664945904067e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9603410792305702e-01  9.9979669334982457e-01  2.9575773968697531e-08
 9.9482584624587311e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9462892858033525e-01  9.9980205815291112e-01  2.9575896016471955e-08
 9.9338939742467591e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9319777316564162e-01  9.9980710055942734e-01  2.9576010729523715e-08
 9.9191984626542729e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9173325327166273e-01  9.9981188702447399e-01  2.9576119619732693e-08
 9.9041074307823318e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9022903466503565e-01  9.9981653226757961e-01  2.9576225296955105e-08
 9.8885580351008706e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8867886218803680e-01  9.9982106458654341e-01  2.9576328404973021e-08
 9.8725361758926244e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8708144853354907e-01  9.9982560807816179e-01  2.9576431766934995e-08
 9.8560434474400216e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8543693235793028e-01  9.9983014240251245e-01  2.9576534920118710e-08
 9.8391564448132840e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8375309086112495e-01  9.9983478906843781e-01  2.9576640628770273e-08
 9.8219730760373281e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8203978571912509e-01  9.9983962297250462e-01  2.9576750596715012e-08
 9.8046787609946207e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8031584683582618e-01  9.9984494212677277e-01  2.9576871603464222e-08
 9.7874813290520402e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7860216076845441e-01  9.9985085832417775e-01  2.9577006192126646e-08
 9.7706615066155289e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7692672695970617e-01  9.9985730372324111e-01  2.9577152819253727e-08
 9.7544914784016035e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7531681713237828e-01  9.9986433869148905e-01  2.9577312858033193e-08
 9.7392895110957811e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7380435151550737e-01  9.9987206500645809e-01  2.9577488623655944e-08
 9.7253163484739669e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7241579337500883e-01  9.9988088667942843e-01  2.9577689306724784e-08
 9.7128385520597404e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7117800753981987e-01  9.9989102293259935e-01  2.9577919893940437e-08
 9.7020712512367646e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7011250311942976e-01  9.9990247236719232e-01  2.9578180353040047e-08
 9.6932025775790132e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6923764539459722e-01  9.9991477289095876e-01  2.9578460171646045e-08
