#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163693610690723e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0170052654460573e+00  1.0006256626786905e+00  2.9594629010716686e-08
 1.0159249412369264e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0150469727474496e+00  9.9913579394122587e-01  2.9560736252668265e-08
 1.0153302584435440e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0144794052298851e+00  9.9916199364041114e-01  2.9561332477319589e-08
 1.0135882199844739e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130001347152853e+00  9.9941979863459984e-01  2.9567198921171418e-08
 1.0122474974634375e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118230882977091e+00  9.9958072589283575e-01  2.9570860504573436e-08
 1.0109229837544662e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0105747480689309e+00  9.9965552698758331e-01  2.9572562358775954e-08
 1.0096222398234065e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0093101543559451e+00  9.9969088887392599e-01  2.9573366881241177e-08
 1.0083056304627127e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0080142146902877e+00  9.9971098468200448e-01  2.9573824077179760e-08
 1.0069730625594762e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0066969205598766e+00  9.9972577022179965e-01  2.9574160457350462e-08
 1.0056198243403500e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0053563307390356e+00  9.9973797891117844e-01  2.9574438210756254e-08
 1.0042486904643533e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0039961395242920e+00  9.9974851753110650e-01  2.9574677967971780e-08
 1.0028614472250839e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0026185312540130e+00  9.9975777713686897e-01  2.9574888626161545e-08
 1.0014604504860898e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0012261787392107e+00  9.9976606989645467e-01  2.9575077287569423e-08
 1.0000468254357076e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9982040519464288e-01  9.9977359036066571e-01  2.9575248378494014e-08
 9.9862086749247270e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9840165753756593e-01  9.9978048730800406e-01  2.9575405283829016e-08
 9.9717982773903791e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9696725082114290e-01  9.9978682188309320e-01  2.9575549394748933e-08
 9.9572022432613394e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9551380865356121e-01  9.9979269711759433e-01  2.9575683055321377e-08
 9.9423584549231447e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9403517413518627e-01  9.9979816523610798e-01  2.9575807453731811e-08
 9.9271959148183631e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9252432762011633e-01  9.9980330411186069e-01  2.9575924361645050e-08
 9.9116329714451057e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9097317975201937e-01  9.9980818761848966e-01  2.9576035459714775e-08
 9.8955969089281759e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8937457773676707e-01  9.9981293381515646e-01  2.9576143433777744e-08
 9.8790149469679933e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8772127017816735e-01  9.9981756833085156e-01  2.9576248866902884e-08
 9.8618628325806934e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8601095683098339e-01  9.9982221773912072e-01  2.9576354638588313e-08
 9.8441306197228806e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8424262223021064e-01  9.9982686155978495e-01  2.9576460282919609e-08
 9.8258842036782179e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8242296934457662e-01  9.9983161716562563e-01  2.9576568470053855e-08
 9.8072098270733565e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8056061703829911e-01  9.9983648186195262e-01  2.9576679138671064e-08
 9.7882812224868609e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7867320957685211e-01  9.9984173659469666e-01  2.9576798680063820e-08
 9.7692918584049482e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7678032788962654e-01  9.9984762667240812e-01  2.9576932674734451e-08
 9.7505107450222306e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7490886641515351e-01  9.9985415319177817e-01  2.9577081147507380e-08
