#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070334328604720e+00  6.9564026770155621e-03 -2.9508264439141631e-05  2.5681161416529612e+00
 1.0022108637022127e+00  8.1477551675900192e-02  1.1540070177366602e-02  2.5568805242924242e+00
 1.0028936017775154e+00  1.5845858178485989e-01  2.2217008477959113e-02  2.5613675636897359e+00
 1.0022313089023818e+00  2.1108275830740678e-01  2.9387978765072736e-02  2.5625574994851066e+00
 1.0023398285916716e+00  2.4491073260905893e-01  3.3826590084274785e-02  2.5651070417123654e+00
 1.0021078914228885e+00  2.6851951036508115e-01  3.6750471759216113e-02  2.5663061754233527e+00
 1.0018648199159275e+00  2.8693905838004891e-01  3.8866378727717268e-02  2.5671943611814529e+00
 1.0015362461204398e+00  3.0218642332520673e-01  4.0453900769741424e-02  2.5676800640965434e+00
 1.0011421063274948e+00  3.1501212123816014e-01  4.1615787262139672e-02  2.5678383814044965e+00
 1.0006661085907245e+00  3.2596919696380344e-01  4.2426186557746340e-02  2.5676573659431252e+00
 1.0001199438721482e+00  3.3544936628248134e-01  4.2936573862970444e-02  2.5671846214373297e+00
 9.9951011292733971e-01  3.4380655007937744e-01  4.3192266208624874e-02  2.5664630712083003e+00
 9.9884455357167556e-01  3.5126808819182637e-01  4.3221320802238498e-02  2.5655250535704655e+00
 9.9812880271008486e-01  3.5803815986558069e-01  4.3047807727074811e-02  2.5644031726467640e+00
 9.9736680130674482e-01  3.6424507668411682e-01  4.2685118357438892e-02  2.5631146720496427e+00
 9.9656043830508301e-01  3.7001728362727732e-01  4.2144637058516551e-02  2.5616775905021396e+00
 9.9571025780594002e-01  3.7543400198701399e-01  4.1428983471000345e-02  2.5600980170028871e+00
 9.9481558902541101e-01  3.8059173896979576e-01  4.0538343432346226e-02  2.5583858907383150e+00
 9.9387362642883281e-01  3.8553763661159085e-01  3.9461646847714374e-02  2.5565355469286750e+00
 9.9288174952875285e-01  3.9035383708215016e-01  3.8184167876761731e-02  2.5545530353118768e+00
 9.9183636931648078e-01  3.9505575269561582e-01  3.6676036136661587e-02  2.5524241457658179e+00
 9.9073468297396849e-01  3.9971714413721376e-01  3.4904165994593582e-02  2.5501569827649071e+00
 9.8957625673831839e-01  4.0432387344620818e-01  3.2819129533787739e-02  2.5477400502324232e+00
 9.8836258853642767e-01  4.0893112917940944e-01  3.0370918382819100e-02  2.5451925391052450e+00
 9.8709938354725302e-01  4.1349163870120409e-01  2.7497679424932114e-02  2.5425141699000271e+00
 9.8579479251954527e-01  4.1803813074943175e-01  2.4143498735703622e-02  2.5397409330314495e+00
 9.8446230807459234e-01  4.2248120075240736e-01  2.0248964128835270e-02  2.5368839170999871e+00
 9.8311735200242467e-01  4.2683216146130620e-01  1.5768766144887942e-02  2.5339988719636897e+00
 9.8178043174345520e-01  4.3096970791742373e-01  1.0663113767384300e-02  2.5311072646988877e+00
 9.8047076033942449e-01  4.3488438976879107e-01  4.9097052845191178e-03  2.5282735731656363e+00
 9.7921276297406890e-01  4.3846421369423255e-01 -1.5032086615880337e-03  2.5255345822609732e+00
 9.7802370394250460e-01  4.4167063019144631e-01 -8.5748678665821775e-03  2.5229406527675975e+00
 9.7692489152575235e-01  4.4443877866232262e-01 -1.6297127578081300e-02  2.5205377483905487e+00
 9.7592896296152054e-01  4.4671794796894904e-01 -2.4658946288474697e-02  2.5183576716962035e+00
 9.7504960430935284e-01  4.4843545068134688e-01 -3.3649084641850659e-02  2.5164224750871664e+00
 9.7429563317237844e-01  4.4956099408585626e-01 -4.3264560640470365e-02  2.5147598960852529e+00
 9.7367730770461092e-01  4.5001920360881115e-01 -5.3508180354753451e-02  2.5133855915329995e+00
 9.7320126790026118e-01  4.4975359238139428e-01 -6.4396017868139283e-02  2.5123139204226517e+00
 9.7287980754453041e-01  4.4870696604879862e-01 -7.5958294698684328e-02  2.5115829603130653e+00
 9.7272664506472462e-01  4.4675095750947458e-01 -8.8227691813478518e-02  2.5112084269178228e+00
 9.7276321478175098e-01  4.4381197272977707e-01 -1.0125858840808911e-01  2.5112623530338301e+00
 9.7301441234134367e-01  4.3965427357797754e-01 -1.1507962663101891e-01  2.5117704423615947e+00
 9.7352243931682925e-01  4.3412908436421371e-01 -1.2973911422529133e-01  2.5128541758662060e+00
 9.7433364780106846e-01  4.2689417445775074e-01 -1.4522256040150738e-01  2.5145876913675580e+00
 9.7551447859910545e-01  4.1767626265376234e-01 -1.6150523106791909e-01  2.5171439957815385e+00
 9.7713912025753946e-01  4.0600844662083091e-01 -1.7843737213910008e-01  2.5206586834422851e+00
 9.7930237738788628e-01  3.9148319515693253e-01 -1.9579046451237539e-01  2.5253616107421166e+00
 9.8209835697866277e-01  3.7357852665557223e-01 -2.1312088413756680e-01  2.5314403302964812e+00
 9.8562091399847152e-01  3.5187493494480343e-01 -2.2979409286775460e-01  2.5391099466479448e+00
 9.8993773912383543e-01  3.2604615570257450e-01 -2.4488860112514171e-01  2.5485069070793878e+00
