#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163552348057510e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0169901787020166e+00  1.0006247263501202e+00  2.9594607718061347e-08
 1.0159238043848025e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0150505605811397e+00  9.9914044360424137e-01  2.9560842065267014e-08
 1.0153025771642994e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0144551484139266e+00  9.9916534364293708e-01  2.9561408712535200e-08
 1.0135660134967266e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0129805513872885e+00  9.9942237397303990e-01  2.9567257520193785e-08
 1.0122235651260827e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118011112277434e+00  9.9958264763546933e-01  2.9570904228315818e-08
 1.0108946914842551e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0105477157774529e+00  9.9965676374628853e-01  2.9572590496653495e-08
 1.0095860725866965e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0092746889901234e+00  9.9969157300696987e-01  2.9573382445896545e-08
 1.0082577342462267e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0079665507138675e+00  9.9971120129063373e-01  2.9573829005177465e-08
 1.0069098793245519e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0066336070957176e+00  9.9972562367843731e-01  2.9574157123410246e-08
 1.0055380462785559e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0052741596456141e+00  9.9973756673462710e-01  2.9574428833573426e-08
 1.0041449732200618e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0038918472974954e+00  9.9974791894664905e-01  2.9574664350003160e-08
 1.0027326241155536e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0024890112635314e+00  9.9975705103617540e-01  2.9574872107235808e-08
 1.0013033855628992e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0010683336040764e+00  9.9976525400571725e-01  2.9575058725978006e-08
 9.9985848303724190e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9963123066940884e-01  9.9977271546755042e-01  2.9575228474665513e-08
 9.9839822318861782e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9817815389438314e-01  9.9977957763833791e-01  2.9575384588902878e-08
 9.9691978215192401e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9670633786640384e-01  9.9978589622822089e-01  2.9575528336225246e-08
 9.9541954396427190e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9521226993064893e-01  9.9979177218803916e-01  2.9575662013358730e-08
 9.9389104548504148e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9368953890724820e-01  9.9979725486137705e-01  2.9575786742943736e-08
 9.9232685040129298e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9213078820423040e-01  9.9980242175551015e-01  2.9575904288318175e-08
 9.9071836882228392e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9052750400720824e-01  9.9980734705130947e-01  2.9576016337123899e-08
 9.8905783139266212e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8887203268733337e-01  9.9981214576192490e-01  2.9576125505901333e-08
 9.8733734554435615e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8715650318721815e-01  9.9981683832992441e-01  2.9576232259729449e-08
 9.8555386807280609e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8537799580318641e-01  9.9982154981547244e-01  2.9576339443678023e-08
 9.8370569424774401e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8353478328500787e-01  9.9982625803252412e-01  2.9576446553024376e-08
 9.8179873599954681e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8163289069291904e-01  9.9983108013837607e-01  2.9576556253023798e-08
 9.7984086616473887e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7968016199528174e-01  9.9983598952135355e-01  2.9576667938260653e-08
 9.7784877117859403e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7769352840017698e-01  9.9984124050365197e-01  2.9576787394362214e-08
 9.7584098546491016e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7569171966797597e-01  9.9984703881148940e-01  2.9576919301374645e-08
 9.7384351241940414e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7370090645869301e-01  9.9985356378217616e-01  2.9577067738958868e-08
 9.7188167107102874e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7174648107045969e-01  9.9986089870341954e-01  2.9577234601672830e-08
 9.6998564797474507e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6985884654209820e-01  9.9986927493936495e-01  2.9577425152610185e-08
 9.6817973529299806e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6806269723883220e-01  9.9987911536474139e-01  2.9577649011390951e-08
