#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163639094071384e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0169994883482354e+00  1.0006253458384486e+00  2.9594621805586705e-08
 1.0159474928100236e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0150756913649259e+00  9.9914188336378851e-01  2.9560874829893793e-08
 1.0153281368290787e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0144826470163864e+00  9.9916727432046470e-01  2.9561452648450835e-08
 1.0135868909715899e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130034684841824e+00  9.9942439815214246e-01  2.9567303578133921e-08
 1.0122439940242849e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118233502741443e+00  9.9958444431122973e-01  2.9570945106483185e-08
 1.0109160099120571e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0105707689353456e+00  9.9965848698276982e-01  2.9572629702508216e-08
 1.0096115113735622e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0093018752760357e+00  9.9969331164112307e-01  2.9573422001397742e-08
 1.0082897876779049e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0080003459311409e+00  9.9971293793679050e-01  2.9573868515072435e-08
 1.0069512855286800e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0066767242235801e+00  9.9972733407360859e-01  2.9574196035804301e-08
 1.0055912176927497e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0053289715264286e+00  9.9973921195640258e-01  2.9574466263021270e-08
 1.0042123182163574e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0039607369011321e+00  9.9974947398009228e-01  2.9574699727453159e-08
 1.0028163953407341e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0025742169449285e+00  9.9975850175871606e-01  2.9574905111437443e-08
 1.0014057786144495e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0011720504292960e+00  9.9976659992368266e-01  2.9575089345735007e-08
 9.9998161292547183e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9975557804033388e-01  9.9977396095866555e-01  2.9575256809600239e-08
 9.9854416901469933e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9832521705610122e-01  9.9978072881962343e-01  2.9575410778201217e-08
 9.9709065774570660e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9687823850103630e-01  9.9978696095182529e-01  2.9575552558543037e-08
 9.9561753792788821e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9541120329900923e-01  9.9979275713713511e-01  2.9575684420753609e-08
 9.9411850329051477e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9391785646714137e-01  9.9979816609115613e-01  2.9575807473183936e-08
 9.9258633505487259e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9239105665367966e-01  9.9980326305702982e-01  2.9575923427660875e-08
 9.9101272033403431e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9082256443987582e-01  9.9980811962323324e-01  2.9576033912848251e-08
 9.8939021759233248e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8920505395457448e-01  9.9981285074941584e-01  2.9576141544067749e-08
