#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070291717104514e+00  6.9389933362971525e-03 -3.3787455659477652e-05  2.5681166151676997e+00
 1.0021953850653924e+00  8.1520149533696656e-02  1.1546342116083992e-02  2.5568630321366888e+00
 1.0028724666361799e+00  1.5853296072210324e-01  2.2227399815928903e-02  2.5613472659513472e+00
 1.0022043342439304e+00  2.1117472078495195e-01  2.9400763894905941e-02  2.5625302324942432e+00
 1.0023087803176629e+00  2.4502631350566795e-01  3.3842549251534945e-02  2.5650762633378266e+00
 1.0020736343618852e+00  2.6866924069244608e-01  3.6770963569194737e-02  2.5662738921645691e+00
 1.0018271720821053e+00  2.8711847454709544e-01  3.8890677391483219e-02  2.5671595394899365e+00
 1.0014951383987696e+00  3.0239513199585460e-01  4.0481838834992435e-02  2.5676418443686226e+00
 1.0010970254565448e+00  3.1524680904700814e-01  4.1646789306052208e-02  2.5677950604070068e+00
 1.0006166801551213e+00  3.2623000496468507e-01  4.2460131071802611e-02  2.5676078404970211e+00
 1.0000657032710918e+00  3.3573577142576361e-01  4.2973230053812025e-02  2.5671275011642720e+00
 9.9945040054429812e-01  3.4411787283439671e-01  4.3231376444662288e-02  2.5663966530232361e+00
 9.9877896626245388e-01  3.5160540758203351e-01  4.3262824604333262e-02  2.5654480518444198e+00
 9.9805662972076126e-01  3.5840188274606483e-01  4.3091539359291213e-02  2.5643139606133416e+00
 9.9728752190491432e-01  3.6463689428378659e-01  4.2731033060696054e-02  2.5630117795232668e+00
 9.9647326619992704e-01  3.7043808029878650e-01  4.2192565548919182e-02  2.5615592020628437e+00
 9.9561446156464350e-01  3.7588618028498877e-01  4.1478880201365434e-02  2.5599624263901810e+00
 9.9471030519734371e-01  3.8107732667379257e-01  4.0590066132909892e-02  2.5582312824583644e+00
 9.9375787856205766e-01  3.8606014069561762e-01  3.9515125558760751e-02  2.5563600352910587e+00
 9.9275450128398457e-01  3.9091649992664218e-01  3.8239207169972179e-02  2.5543547289983111e+00
 9.9169631864681640e-01  3.9566116408247454e-01  3.6732240532118779e-02  2.5522000041919068e+00
 9.9058056932653138e-01  4.0036962692851763e-01  3.4961144073211652e-02  2.5499048195263345e+00
 9.8940642561232084e-01  4.0502563352082827e-01  3.2876089570002043e-02  2.5474556320281585e+00
 9.8817551346712362e-01  4.0968672039473875e-01  3.0427036438408397e-02  2.5448729883330001e+00
 9.8689292735294964e-01  4.1430391176975190e-01  2.7551695924028990e-02  2.5421543421081330e+00
 9.8556718716749725e-01  4.1891416028633438e-01  2.4194096089034840e-02  2.5393381236546677e+00
 9.8421086882240338e-01  4.2342309841175885e-01  2.0294104837803719e-02  2.5364313370735192e+00
 9.8283999255733112e-01  4.2784998924690043e-01  1.5806369491106993e-02  2.5334942556944755e+00
 9.8147391034873577e-01  4.3206008692570852e-01  1.0690091446263695e-02  2.5305399164734772e+00
 9.8013271840397898e-01  4.3606014830046586e-01  4.9229827882007991e-03  2.5276416212152681e+00
 9.7883957750612827e-01  4.3971906608582390e-01 -1.5075151019139249e-03  2.5248245697397311e+00
 9.7761260537021732e-01  4.4301469471656008e-01 -8.6009625492924867e-03  2.5221486300417855e+00
 9.7647219729395129e-01  4.4587348911062319e-01 -1.6349736871505809e-02  2.5196524443117543e+00
 9.7543167842547918e-01  4.4826133844587102e-01 -2.4744138127055244e-02  2.5173776581645484e+00
 9.7450362141439295e-01  4.5008783249692097e-01 -3.3773077665565150e-02  2.5153344000054698e+00
 9.7369771167950092e-01  4.5134468122836169e-01 -4.3436220918313298e-02  2.5135630634122723e+00
 9.7302234949395661e-01  4.5192224000244291e-01 -5.3734453682379349e-02  2.5120592069049286e+00
 9.7248578628947269e-01  4.5180299290246323e-01 -6.4689451310085189e-02  2.5108576926546737e+00
 9.7209765278902871e-01  4.5088794109779151e-01 -7.6327500410657348e-02  2.5099727656546578e+00
 9.7187372769857183e-01  4.4908595887279751e-01 -8.8688832434766302e-02  2.5094399183473337e+00
 9.7183293962166672e-01  4.4630026827944730e-01 -1.0182630904113936e-01  2.5093167080328538e+00
