#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070205513262012e+00  6.9245975282402417e-03 -4.6832512271839085e-05  2.5681181826642878e+00
 1.0021722900159442e+00  8.1699207117290201e-02  1.1572065320378778e-02  2.5568466559201410e+00
 1.0028432055957155e+00  1.5878125027425463e-01  2.2262210912185245e-02  2.5613320728254534e+00
 1.0021641911555381e+00  2.1142403554914682e-01  2.9435475685910751e-02  2.5624985111039127e+00
 1.0022581953529039e+00  2.4526820186947551e-01  3.3875960524986946e-02  2.5650247206000421e+00
 1.0020131815505589e+00  2.6892099270430353e-01  3.6805415957037825e-02  2.5662038611867111e+00
 1.0017570232509296e+00  2.8738941416481972e-01  3.8927378602028134e-02  2.5670710092319595e+00
 1.0014154776857580e+00  3.0269276357942698e-01  4.0521683701865686e-02  2.5675354706829867e+00
 1.0010075108640999e+00  3.1557495440706623e-01  4.1690141152108007e-02  2.5676697470925807e+00
 1.0005169004857204e+00  3.2659339504109891e-01  4.2507426848576085e-02  2.5674629207717601e+00
 9.9995498099773505e-01  3.3613784897838173e-01  4.3024696890733703e-02  2.5669614503423115e+00
 9.9932805549482473e-01  3.4456368929586728e-01  4.3287383896126998e-02  2.5662083690385842e+00
 9.9864401951254012e-01  3.5209714889462457e-01  4.3323331210971039e-02  2.5652351026140860e+00
 9.9790809272164749e-01  3.5894544200398337e-01  4.3156891588624187e-02  2.5640748390191490e+00
 9.9712411228611619e-01  3.6523358008811552e-01  4.2800958810685331e-02  2.5627431021868157e+00
 9.9629355473639869e-01  3.7109385615699558e-01  4.2267256924484867e-02  2.5612586402220598e+00
 9.9541696297853843e-01  3.7660217554007608e-01  4.1557890458247614e-02  2.5596257079727596e+00
 9.9449319094170419e-01  3.8186069233691805e-01  4.0673503408187116e-02  2.5578554353889862e+00
 9.9351928366612441e-01  3.8691267694462089e-01  3.9602388252779737e-02  2.5559399576552999e+00
 9.9249202214857968e-01  3.9184567609568816e-01  3.8330097151370729e-02  2.5538861975991947e+00
 9.9140770448794413e-01  3.9666871944800114e-01  3.6825780192281964e-02  2.5516765096890537e+00
 9.9026278281184410e-01  4.0146324939044570e-01  3.5056638385977501e-02  2.5493203704017620e+00
 9.8905662034622810e-01  4.0620823705168596e-01  3.2972084256353930e-02  2.5468024789507284e+00
 9.8778985228169236e-01  4.1096569855790649e-01  3.0522022288776280e-02  2.5441428424104964e+00
 9.8646798649274181e-01  4.1568401293158880e-01  2.7643474941918881e-02  2.5413383731549342e+00
 9.8509828852098191e-01  4.2040304332193384e-01  2.4280080009745797e-02  2.5384256206828320e+00
 9.8369392997207661e-01  4.2502869567993223e-01  2.0371063283346678e-02  2.5354129118932187e+00
 9.8226939027474425e-01  4.2958061995132707e-01  1.5870301691881368e-02  2.5323566863165912e+00
 9.8084499397644465e-01  4.3392574550777180e-01  1.0736254532384614e-02  2.5292727713294711e+00
 9.7943896233463912e-01  4.3807131831044138e-01  4.9456816515697647e-03  2.5262297562843554e+00
 9.7807577903255605e-01  4.4188682369029625e-01 -1.5149395049825554e-03  2.5232564035945892e+00
 9.7677138502178429e-01  4.4535211499740540e-01 -8.6463461589301391e-03  2.5204073743551407e+00
 9.7554788459676234e-01  4.4839333908300960e-01 -1.6442133400709106e-02  2.5177254843850747e+00
 9.7441599205707929e-01  4.5097961253588514e-01 -2.4894194957377037e-02  2.5152466986643804e+00
 9.7339021384266389e-01  4.5302023505048961e-01 -3.3993106821138104e-02  2.5129857301962910e+00
 9.7247742379229873e-01  4.5451057557382923e-01 -4.3740902015556339e-02  2.5109767279095045e+00
 9.7168765145423042e-01  4.5533626526126036e-01 -5.4140383940745621e-02  2.5092177242391069e+00
 9.7102647341771819e-01  4.5549040449106082e-01 -6.5217425980918092e-02  2.5077397333797298e+00
 9.7050471150838247e-01  4.5486315912515946e-01 -7.7000426223613569e-02  2.5065571815228718e+00
 9.7013571850722657e-01  4.5337695308653975e-01 -8.9536253073877817e-02  2.5057024944846478e+00
 9.6993945056135422e-01  4.5092439616487240e-01 -1.0288132841846089e-01  2.5052342610350822e+00
 9.6994102862634657e-01  4.4730066547177288e-01 -1.1708108151779335e-01  2.5051865600030276e+00
 9.7018236948135139e-01  4.4233266737457716e-01 -1.3219074170626482e-01  2.5056744051444477e+00
 9.7071076241437027e-01  4.3568965106732660e-01 -1.4821464929638337e-01  2.5067761143432250e+00
 9.7159590132301854e-01  4.2710067387717343e-01 -1.6514940893518779e-01  2.5086784783121425e+00
 9.7291526587734523e-01  4.1606871613522994e-01 -1.8285877920426200e-01  2.5115124045279420e+00
