#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0154709155494293e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0162053670648368e+00  1.0007232619902366e+00  2.9596848422535125e-08
 1.0078540967151577e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0075468115616029e+00  9.9969510948602969e-01  2.9573462903961990e-08
 1.0092255282916589e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0088977070525262e+00  9.9967517543904449e-01  2.9573009384732508e-08
 1.0105248660362689e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0101594449278806e+00  9.9963838484269929e-01  2.9572172350822746e-08
 1.0117745887861525e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0113289778472165e+00  9.9955957488567648e-01  2.9570379271360244e-08
 1.0130129539297048e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0124010234424339e+00  9.9939593024462625e-01  2.9566655818447278e-08
 1.0144768474759245e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0136139274175326e+00  9.9914939403443392e-01  2.9561045749951080e-08
 1.0150796560787125e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0142258867251648e+00  9.9915891393504452e-01  2.9561262393082808e-08
 1.0067116217754080e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0064850052496441e+00  9.9977489429856392e-01  2.9575278043080567e-08
 1.0058536599866821e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0056346856215985e+00  9.9978229997683132e-01  2.9575446521900394e-08
 1.0050274436186861e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0048151257495155e+00  9.9978874420741592e-01  2.9575593127338078e-08
 1.0042338722963784e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0040274402059313e+00  9.9979443823182856e-01  2.9575722665296748e-08
 1.0034742338570397e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0032730199233950e+00  9.9979948271031227e-01  2.9575837425910682e-08
 1.0027483387076233e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0025517696685069e+00  9.9980396971849450e-01  2.9575939503978982e-08
 1.0020560000034251e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0018635689713975e+00  9.9980796379441195e-01  2.9576030367800978e-08
 1.0013960631102232e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0012073428591177e+00  9.9981154284697404e-01  2.9576111789837552e-08
 1.0007675485950578e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0005821816206835e+00  9.9981477519466500e-01  2.9576185324352933e-08
 1.0001695923770086e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9998730033423333e-01  9.9981773886732361e-01  2.9576252746525557e-08
 9.9960300300704552e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9942357799386283e-01  9.9982050372733711e-01  2.9576315645715418e-08
 9.9907013064221128e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9889347458640787e-01  9.9982317952425459e-01  2.9576376518683544e-08
 9.9857769117686224e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9840377475169262e-01  9.9982583585963702e-01  2.9576436948833595e-08
 9.9813508818433061e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9796398052008084e-01  9.9982857263883906e-01  2.9576499208954002e-08
 9.9775832136619436e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9759007662144006e-01  9.9983137725724625e-01  2.9576563012290455e-08
 9.9746665370162713e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9730132135006910e-01  9.9983424774056928e-01  2.9576628313922862e-08
 9.9728637746978233e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9712390081418201e-01  9.9983708124439408e-01  2.9576692774206201e-08
 9.9724644312655764e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9708668447027926e-01  9.9983980022452901e-01  2.9576754629069968e-08
 9.9738043111541141e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9722307350700545e-01  9.9984222909985332e-01  2.9576809884186439e-08
 9.9772063363245689e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9756521652288632e-01  9.9984422782858107e-01  2.9576855353737113e-08
