#              NORMAL-X,               NORMAL-Y,                   AREA
 1.0515191816921670e+00  0.0000000000000000e+00  1.0515191816921670e+00
 0.0000000000000000e+00  2.6272570545780654e+00  2.6272570545780654e+00
 1.0571539340004166e+00  0.0000000000000000e+00  1.0571539340004166e+00
 0.0000000000000000e+00  2.6411036893948427e+00  2.6411036893948427e+00
 1.0624455175497300e+00  0.0000000000000000e+00  1.0624455175497300e+00
 0.0000000000000000e+00  2.6541720287287389e+00  2.6541720287287389e+00
 1.0670628196925109e+00  0.0000000000000000e+00  1.0670628196925109e+00
 0.0000000000000000e+00  2.6656150219142298e+00  2.6656150219142298e+00
 1.0705970208075166e+00  0.0000000000000000e+00  1.0705970208075166e+00
 0.0000000000000000e+00  2.6743819427809292e+00  2.6743819427809292e+00
 1.0725947433764529e+00  0.0000000000000000e+00  1.0725947433764529e+00
 0.0000000000000000e+00  2.6793241360055808e+00  2.6793241360055808e+00
 1.0726492480853198e+00  0.0000000000000000e+00  1.0726492480853198e+00
 0.0000000000000000e+00  2.6794205650964753e+00  2.6794205650964753e+00
 1.0705026273668152e+00  0.0000000000000000e+00  1.0705026273668152e+00
 0.0000000000000000e+00  2.6740294775505715e+00  2.6740294775505715e+00
 1.0661229466795241e+00  0.0000000000000000e+00  1.0661229466795241e+00
 0.0000000000000000e+00  2.6630797474066989e+00  2.6630797474066989e+00
 1.0597708038925238e+00  0.0000000000000000e+00  1.0597708038925238e+00
 0.0000000000000000e+00  2.6472468552231598e+00  2.6472468552231598e+00
 1.0519293682058033e+00  0.0000000000000000e+00  1.0519293682058033e+00
 0.0000000000000000e+00  2.6277758004125249e+00  2.6277758004125249e+00
 9.8998783893260467e-01  0.0000000000000000e+00  9.8998783893260467e-01
 0.0000000000000000e+00  2.4744264333495689e+00  2.4744264333495689e+00
 9.9209932265775913e-01  0.0000000000000000e+00  9.9209932265775913e-01
 0.0000000000000000e+00  2.4796867679034915e+00  2.4796867679034915e+00
 9.9413214860838550e-01  0.0000000000000000e+00  9.9413214860838550e-01
 0.0000000000000000e+00  2.4847499625820602e+00  2.4847499625820602e+00
 9.9609404731497919e-01  0.0000000000000000e+00  9.9609404731497919e-01
 0.0000000000000000e+00  2.4896359053642896e+00  2.4896359053642896e+00
 9.9798815112946526e-01  0.0000000000000000e+00  9.9798815112946526e-01
 0.0000000000000000e+00  2.4943526621977385e+00  2.4943526621977385e+00
 9.9981615326338358e-01  0.0000000000000000e+00  9.9981615326338358e-01
 0.0000000000000000e+00  2.4989040106484137e+00  2.4989040106484137e+00
 1.0015759490436615e+00  0.0000000000000000e+00  1.0015759490436615e+00
 0.0000000000000000e+00  2.5032835844124230e+00  2.5032835844124230e+00
 1.0032642397083635e+00  0.0000000000000000e+00  1.0032642397083635e+00
 0.0000000000000000e+00  2.5074822577195270e+00  2.5074822577195270e+00
 1.0048772340060366e+00  0.0000000000000000e+00  1.0048772340060366e+00
 0.0000000000000000e+00  2.5114898742511724e+00  2.5114898742511724e+00
